commit	score	status	description	timestamp
9e43a20	5.00	keep	Smooth threshold 128->100: preserves outline continuity after Gaussian blur (first CC CLI judge run)	2026-04-26T00:00:00Z
4844fbf	4.75	discard	close_kernel_size 3->5: lines too thick, score regressed vs 5.00 baseline	2026-04-26T14:20:05Z
1ab4a93	5.00	discard	Bilateral sigmaColor 75->90: no improvement vs 5.00 baseline (stop hook fix: pre-commit required)	2026-04-26T14:50:00Z
cbd6876	5.25	keep	Smooth threshold 100->85: bridges gap-pixels with 3+ line neighbors, score 5.00->5.25	2026-04-26T14:36:10Z
bb7567e	5.25	discard	Smooth threshold 85->75: no improvement vs 5.25 baseline	2026-04-26T20:57:42Z
82a4aaf	0.50	discard	Bilateral sigmaSpace 75->50: judge failure (stop hook distraction), not a real evaluation	2026-04-26T21:30:00Z
1733473	4.75	discard	Adaptive threshold C=5->3: more inclusive edge detection, score regressed 5.25->4.75	2026-04-26T22:00:00Z
ba5fdff	5.25	discard	GaussianBlur kernel (3,3)->(5,5): no improvement vs 5.25 baseline (pre-commit workflow confirmed working)	2026-04-26T23:00:00Z
8b71118	5.25	discard	GaussianBlur sigma 0.8->1.5: no improvement vs 5.25 baseline	2026-04-26T23:30:00Z
aad8845	4.75	discard	Adaptive threshold blockSize 21->31: regressed 5.25->4.75 (also confirmed by earlier b279cbb trial)	2026-04-27T06:30:42Z
24ec7d1	4.75	discard	Adaptive threshold blockSize 21->15: regressed 5.25->4.75 (confirms b279cbb blockSize=15 finding)	2026-04-27T07:00:00Z
b68d303	4.50	discard	Bilateral filter 2 passes->1 pass: score regressed 5.25->4.50 (2-pass confirmed needed)	2026-04-27T07:30:00Z
5199402	4.75	discard	close_kernel_size 3->4: middle ground regressed 5.25->4.75 (all sizes >3 hurt)	2026-04-27T07:45:00Z
